Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Wohnungsswap - Friedrich-Jacobs-Promenade;;.;;;85;3;2. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dldb5t
Wohnungsswap - Friedelstraße;;.;;;74;3;2. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dadb5t
Wohnungsswap - Goltzstraße;;.;;;30;1;4. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d9db5t
Wohnungsswap - Mariendorfer Weg;;.;;;65;3;1. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d8db5t
Wohnungsswap - Dieffenbachstraße;;.;;;72;3;4. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dycb5t
Wohnungsswap - Großgörschenstraße;;.;;;60;2;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dtcb5t
Wohnungsswap - Wehneltsteig;;.;;;48;1;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dlcb5t
Wohnungsswap - Jacobystraße;;.;;;83;3;9. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dkcb5t
Wohnungsswap - Werrastraße;;.;;;68;3;Erdgeschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2djcb5t
Wohnungsswap - Schönhauser Allee;;.;;;58;2;4. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dfcb5t
Wohnungsswap - Hermannstraße;;.;;;46;1;2. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dccb5t
Wohnungsswap - Prager Platz;;.;;;120;3;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dacb5t
Wohnungsswap - Perleberger Straße;;.;;;77;3;4. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d9cb5t
Freundliche 2-Zimmer Wohnung - ideal für Singles;732,78;517,78;150;3 mal Netto Miete (kalt);55;2;Erdgeschoss;10551 Berlin Moabit;Bad mit Wanne;;1976;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;D;;;https://www.immowelt.de/expose/2dr7b5t
3 Zimmer Wohnung im Kiez!;1.354,11;989,11;235;3 mal Netto Miete (kalt);96;3;5. Geschoss (Dachgeschoss);10553 Berlin Moabit;Bad mit Wanne;;1997;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;15.04.2024;D;;;https://www.immowelt.de/expose/2dnka5t
2- Zimmer Wohnung zur Selbstgestaltung in Moabit;642,76;442,76;130;3x NKM;59;2;5. Geschoss (Dachgeschoss);10553 Berlin Mitte;Bad mit Wanne, Gäste-WC;;1966;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;E;;;https://www.immowelt.de/expose/2dl8a5t
Idyllisch Wohnen auf Zeit - 2 Zimmer voll möbliert mitten in Mitte;2.500;2.000;500;6.000 €;75;2;Erdgeschoss;10115 Berlin Mitte;Bad mit Wanne;;2002;Verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;C;Fernwärme;88,00;https://www.immowelt.de/expose/2dlz95t
Frisch saniert: Lichtdurchflutete City Residenz im Herzen der Hauptstadt;2.500;2.037;463;;93;3;11. Geschoss;10785 Berlin Zehlendorf;Gäste-WC;;2000;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;D;;;https://www.immowelt.de/expose/2d8q95t
QH Straight - Neubau mit besonderem Charme in der Europacity *Bezug ab Juni 2024*;;1.539,34;376,98;4.618,00;62;2;5. Geschoss;10557 Berlin Moabit;;;2022;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;;89,00;https://www.immowelt.de/expose/2d7x85t
Erstbezug ab Juni 24 - stylischer Sichtbeton meets Smart Home. Jetzt Musterwohnung besichtigen;;2.806,25;673,50;8.419,00;112;4;6. Geschoss;10557 Berlin Moabit;;;2022;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;;89,00;https://www.immowelt.de/expose/2dfw85t
Neubau: inkl. EBK, Balkon zum begrünten Innenhof und tollen Smart Home-Features;;2.036,98;520,08;6.111,00;86;3;1. Geschoss;10557 Berlin Moabit;;;2022;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;;89,00;https://www.immowelt.de/expose/2ddv85t
Modernes Wohnen in der Europacity - ideal für Singles, Paare und Pendler!;;1.622,21;414,18;4.867,00;69;2;2. Geschoss;10557 Berlin Moabit;;;2022;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;C;;89,00;https://www.immowelt.de/expose/2dmu85t
*Erstbezug* Lichtdurchflutet, geräumig, mit Badewanne und Smart Home-Features;;1.756,04;405,24;5.268,00;67;2;6. Geschoss;10557 Berlin Moabit;;;2021;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;;57,00;https://www.immowelt.de/expose/2dsg85t
